InfraredT,H,RollAngle,PitchingAngle,HeadingAngle,GPS,LowSpeed,A_10,A_10_2,A_30,A_30_2,A_30_10,A_30_MAX,A_80,A_80_2,A_80_10,A_100,A_100_2,A_100_10,A_1_2_T,A_30_T,A_80_T,A_100_T,A_10_T,A_1_5_H,A_30_H,A_80_H,A_100_H
26.6,599.93,0.458366,-1.214671,-55.25605,-59.209459,21.086,2,2.2,2.6,2.8,2.9,3.4,4.2,3.9,3.9,4.1,4.1,4.1,24.2,24.2,23.7,23.6,24.2,85,84,84,94
26.8,599.93,0.458366,-1.214671,-55.25605,-59.209459,21.086,2,2.2,3.2,2.9,2.9,3.4,3.6,3.8,3.9,3.7,4,4.1,24.2,24.1,23.7,23.6,24.2,85,84,85,95
26.8,600.01,1.787628,-1.518338,-53.875221,-58.120839,21.143,2.4,2.3,3.2,3,2.9,3.4,3.6,3.9,3.9,4.3,4.2,4.1,24.2,24.2,23.7,23.6,24.2,86,84,85,95
26.8,600.01,1.787628,-1.518338,-53.875221,-58.120839,21.143,1.7,2.1,2.9,2.9,2.9,3.4,3.9,4,3.9,4.1,4.3,4.2,24.2,24.2,23.6,23.5,24.2,86,84,85,94
26.8,600.07,0.670361,-1.524068,-54.562771,-58.550557,21.303,2.3,2.3,3.4,3.1,3,3.4,4,4,3.9,3.8,4.1,4.1,24.2,24.1,23.6,23.6,24.2,86,84,84,95
27,600.07,0.670361,-1.524068,-54.562771,-58.550557,21.303,1.9,2.2,2.9,3,3,3.4,3.3,3.8,3.9,3.5,4,4.1,24.2,24.1,23.7,23.6,24.2,86,84,84,95
27,599.99,0.378152,-1.174563,-54.041379,-57.885926,20.976,2.1,2,2.7,2.9,3,3.4,4.1,4,3.9,4.3,4.2,4.1,24.2,24.1,23.7,23.5,24.2,86,84,85,95
27,599.99,0.378152,-1.174563,-54.041379,-57.885926,20.976,1.8,2.1,3.1,2.9,2.9,3.4,3.5,3.9,3.9,4.2,4.3,4.2,24.2,24.1,23.7,23.5,24.2,86,84,85,95
25.3,600.02,-0.366693,-1.610011,-54.511205,-58.453154,21.49,2.5,2.4,2.6,2.8,2.9,3.4,3.4,3.5,3.8,3.6,3.8,4.1,24.2,24.1,23.8,23.7,24.2,86,84,85,96
27.1,600.02,-0.366693,-1.610011,-54.511205,-58.453154,21.49,2.1,2.2,3.2,2.9,2.9,3.4,3.5,3.6,3.8,4,3.9,4,24.2,24.2,23.7,23.5,24.2,86,84,85,96
27.1,600.02,-0.366693,-1.610011,-54.511205,-58.453154,21.49,2.1,2.1,2.6,2.7,2.9,3.4,3.6,3.5,3.7,3.9,3.8,4,24.2,24.2,23.7,23.6,24.2,86,84,85,96
25.3,599.89,3.890383,-1.63293,116.178652,119.811205,25.854,2.1,2,2.6,2.7,2.8,3.4,3.7,3.7,3.7,3.7,3.8,3.9,24.2,24.2,23.6,23.5,24.2,86,85,85,96
27.1,599.89,3.890383,-1.63293,116.178652,119.811205,25.854,1.6,1.8,2.6,2.6,2.8,3.4,3.4,3.6,3.7,3.8,3.7,3.9,24.2,24.1,23.6,23.5,24.2,86,85,85,96
27.2,599.89,3.890383,-1.63293,116.178652,119.811205,25.854,1.7,1.7,2.4,2.5,2.7,3.4,3.7,3.6,3.7,3.6,3.7,3.9,24.2,24.1,23.7,23.6,24.2,86,85,85,96
27.2,599.89,3.890383,-1.63293,116.178652,119.811205,25.854,1.9,1.9,3.4,2.8,2.7,3.4,3.6,3.5,3.7,3.5,3.8,3.9,24.2,24.1,23.7,23.5,24.2,86,85,86,96
27.1,599.97,1.037054,-1.340721,119.404405,122.154602,26.348,1.7,1.9,2.4,2.7,2.7,3.4,3.4,3.4,3.6,3.4,3.6,3.8,24.2,24.1,23.6,23.5,24.2,86,85,86,96
27.1,599.97,1.037054,-1.340721,119.404405,122.154602,26.348,2,1.8,3,2.7,2.7,3.4,3.6,3.5,3.6,4,3.7,3.8,24.2,24.1,23.6,23.5,24.1,86,85,86,96
27.2,599.97,1.037054,-1.340721,119.404405,122.154602,26.348,1.9,1.9,2.3,2.7,2.7,3.4,3.9,3.6,3.6,3.8,3.7,3.8,24.2,24.1,23.6,23.6,24.1,86,85,86,96
27.2,599.9,2.864789,-1.059972,120.263841,121.850934,26.521,1.7,1.8,2.3,2.6,2.7,3.4,3.5,3.6,3.6,3.6,3.6,3.7,24.2,24.1,23.6,23.5,24.2,86,85,86,96
27.2,599.9,2.864789,-1.059972,120.263841,121.850934,26.521,2.2,2.1,2.8,2.9,2.8,3.4,3.4,3.6,3.6,3.1,3.6,3.7,24.2,24.1,23.7,23.5,24.2,86,85,85,96
27.2,599.79,1.065701,-1.329262,121.358191,122.463999,26.422,2.2,2.2,2.7,2.7,2.8,3.4,4.2,3.5,3.6,3.3,3.5,3.7,24.2,24.1,23.6,23.5,24.2,86,85,86,96
27.2,599.79,1.065701,-1.329262,121.358191,122.463999,26.422,2.5,2.3,2.9,2.8,2.8,3.4,3.7,3.7,3.6,3.4,3.5,3.6,24.2,24.1,23.6,23.5,24.2,86,85,86,96
24.9,599.79,1.065701,-1.329262,121.358191,122.463999,26.422,2.6,2.2,3,2.9,2.8,2.8,4,3.7,3.6,3.8,3.7,3.7,24.2,24.1,23.6,23.5,24.2,87,85,86,96
24.9,599.79,1.065701,-1.329262,121.358191,122.463999,26.422,2.2,2.4,2.4,2.8,2.8,2.8,3.7,3.6,3.6,3.8,3.7,3.7,24.2,24.1,23.7,23.5,24.2,87,85,86,96
24.9,599.96,1.6272,-1.781899,121.621751,122.188979,26.33,2.1,2.2,2.8,2.6,2.7,2.8,3.3,3.5,3.6,3.4,3.6,3.6,24.2,24.2,23.7,23.5,24.2,87,85,86,97
24.8,599.96,1.6272,-1.781899,121.621751,122.188979,26.33,2,2.1,2.4,2.5,2.7,2.8,3.5,3.4,3.5,3.4,3.5,3.6,24.2,24.2,23.7,23.6,24.2,87,86,86,97
24.8,599.96,1.6272,-1.781899,121.621751,122.188979,26.33,2,2,2.4,2.4,2.6,2.8,3.6,3.7,3.6,3.7,3.7,3.6,24.2,24.2,23.6,23.5,24.2,87,86,87,98
24.9,600.16,0.53858,-1.799087,121.249329,121.552996,26.413,1.9,1.9,2.4,2.2,2.5,2.8,3.7,3.6,3.6,4.1,3.6,3.6,24.2,24.1,23.6,23.5,24.2,87,86,87,97
24.8,600.16,0.53858,-1.799087,121.249329,121.552996,26.413,1.9,1.9,2.3,2.4,2.5,2.8,3.3,3.5,3.6,3.7,3.7,3.6,24.2,24.2,23.6,23.4,24.2,87,86,87,97
24.8,600.16,0.53858,-1.799087,121.249329,121.552996,26.413,2,1.8,2.5,2.3,2.5,2.8,3.5,3.4,3.5,3.5,3.6,3.6,24.2,24.1,23.6,23.5,24.2,87,86,87,97
24.8,600.16,0.53858,-1.799087,121.249329,121.552996,26.413,2.4,2.1,2.7,2.6,2.5,2.8,3.6,3.5,3.5,3.9,3.6,3.6,24.2,24.1,23.6,23.5,24.1,87,86,87,97
24.8,600,2.314749,-1.214671,122.252005,122.383785,26.649,2.5,2.3,2.9,2.8,2.6,2.8,3.8,3.6,3.5,3.8,3.7,3.7,24.2,24.1,23.6,23.5,24.1,87,86,87,97
24.9,600,2.314749,-1.214671,122.252005,122.383785,26.649,2,2.2,3.2,2.8,2.6,2.8,3.8,3.7,3.6,3.9,3.8,3.7,24.2,24.1,23.5,23.4,24.1,88,86,87,97
24.9,600,2.314749,-1.214671,122.252005,122.383785,26.649,2.8,2.4,3.3,2.9,2.7,2.8,3.8,3.8,3.6,3.9,3.9,3.7,24.2,24.1,23.6,23.5,24.1,88,86,86,96
24.8,599.97,0.825059,-1.037054,120.344055,120.710748,26.773,2.3,2.4,3.1,2.9,2.7,2.8,4,3.8,3.7,3.9,3.8,3.7,24.2,24.1,23.6,23.6,24.1,88,86,87,97
